id,generation,prop_cooperators,avg_cohesion,avg_cohesion_cooperators,avg_cohesion_cheaters,avg_fit_coops,avg_fit_cheat,speed
1,0,0.5,2.0,2.0,2.0,1.0,2.0,1
1,1,0.4,2.0036121682620083,2.000713718791366,2.005544467909102,1.1701394339986013,2.1122793360418295,1
1,2,0.2,2.003754923128055,1.9919760122201635,2.006699650855028,1.0630489555746916,1.8862416003905258,1
1,3,0.2,1.99827372686166,1.9751266291743117,2.004060501283497,1.0928785795249496,1.7465536835839353,1
1,4,0.0,1.9998391302345482,nan,1.9998391302345482,nan,1.5470069852823722,1
1,5,0.0,1.990118679325525,nan,1.990118679325525,nan,1.2635742252816733,1
1,6,0.0,1.9880639296077718,nan,1.9880639296077718,nan,1.3131171287807697,1
1,7,0.0,1.9715432932536168,nan,1.9715432932536168,nan,1.220113618033619,1
1,8,0.0,1.9756480668869325,nan,1.9756480668869325,nan,1.1405662725780688,1
1,9,0.0,1.9811650877094298,nan,1.9811650877094298,nan,1.2736411387584663,1
1,10,0.0,1.9778726587205213,nan,1.9778726587205213,nan,1.1536732584738025,1
1,11,0.0,1.9655838451655234,nan,1.9655838451655234,nan,1.1762141010131995,1
1,12,0.0,1.9550187223342987,nan,1.9550187223342987,nan,1.189144925016667,1
1,13,0.0,1.957217697897058,nan,1.957217697897058,nan,1.2536300222519574,1
1,14,0.0,1.9570089384013873,nan,1.9570089384013873,nan,1.2553975641564126,1
1,15,0.0,1.9508488358616922,nan,1.9508488358616922,nan,1.3490428366675171,1
1,16,0.0,1.9472867502013536,nan,1.9472867502013536,nan,1.3247474477461463,1
1,17,0.0,1.9364175337559815,nan,1.9364175337559815,nan,1.3335548656131528,1
1,18,0.0,1.9264226218488143,nan,1.9264226218488143,nan,1.4645145895966194,1
1,19,0.0,1.9439534660581959,nan,1.9439534660581959,nan,1.3400502324169061,1
1,20,0.0,1.962347137218907,nan,1.962347137218907,nan,1.2376367760271942,1
1,21,0.0,1.9677060373779536,nan,1.9677060373779536,nan,1.2370717615144335,1
1,22,0.0,1.9752288751801519,nan,1.9752288751801519,nan,1.272052456037652,1
1,23,0.0,1.979715031572281,nan,1.979715031572281,nan,1.4318639507617366,1
1,24,0.0,1.9670390496892196,nan,1.9670390496892196,nan,1.2994829085260897,1
1,25,0.0,1.9764304795899021,nan,1.9764304795899021,nan,1.1462074845554653,1
1,26,0.1,1.9707308674630952,1.952667326801333,1.9727379275366244,1.0,1.7616807165518955,1
1,27,0.0,1.9871469122571583,nan,1.9871469122571583,nan,1.1668593156002713,1
1,28,0.0,1.9885378482458678,nan,1.9885378482458678,nan,1.2324968918526538,1
1,29,0.0,1.9862466165113226,nan,1.9862466165113226,nan,1.2386077928264723,1
1,30,0.0,1.9812640174655727,nan,1.9812640174655727,nan,1.2643370298960772,1
1,31,0.0,1.9797154069773897,nan,1.9797154069773897,nan,1.2134857660575098,1
1,32,0.0,1.9765664990012197,nan,1.9765664990012197,nan,1.4286939918589021,1
1,33,0.0,1.9786302944410301,nan,1.9786302944410301,nan,1.33595120005957,1
1,34,0.0,1.947895888132475,nan,1.947895888132475,nan,1.3867074876607224,1
1,35,0.0,1.9508910225291032,nan,1.9508910225291032,nan,1.3215797788939245,1
